epoch,train_loss,val_loss,val_acc
1,0.649411,0.552865,72.274
2,0.511199,0.497304,76.797
3,0.383379,0.305996,87.701
4,0.232368,0.174940,93.340
5,0.121248,0.204870,91.853
6,0.075122,0.112709,96.159
7,0.052516,0.110155,96.035
8,0.050075,0.098099,96.623
9,0.037589,0.087313,97.553
10,0.033636,0.065078,97.924
11,0.029423,0.166993,93.711
12,0.031397,0.064515,97.708
13,0.028820,0.062541,97.584
14,0.023835,0.055296,98.017
15,0.026227,0.070930,97.522
16,0.022556,0.084368,97.398
17,0.021451,0.063412,97.862
18,0.023285,0.034486,98.420
19,0.021383,0.072751,97.553
20,0.017547,0.056095,98.327
