epoch,train_loss,val_loss,val_acc
1,0.696046,0.659700,63.642
2,0.630666,0.612435,68.611
3,0.589090,0.650028,61.852
4,0.548288,0.567392,71.420
5,0.511920,0.571692,71.358
6,0.450852,0.612194,72.006
7,0.370343,0.746349,69.198
8,0.281245,0.748391,70.957
9,0.195555,0.851364,71.142
10,0.141504,0.914685,71.512
11,0.099412,1.104837,72.130
12,0.086003,1.036526,72.037
13,0.069480,1.125200,73.333
14,0.060732,1.457798,72.623
15,0.061670,1.307129,73.981
16,0.049848,1.282977,73.364
17,0.045451,1.494373,72.593
18,0.040438,1.657683,71.049
19,0.037194,1.447545,74.321
20,0.040411,1.237744,72.654
