epoch,train_loss,val_loss,val_acc
1,0.673430,0.609691,69.660
2,0.593066,0.605691,66.883
3,0.580462,0.616785,65.802
4,0.567762,0.588171,68.302
5,0.560229,0.571000,71.636
6,0.537316,0.542954,73.426
7,0.520571,0.609860,67.531
8,0.502967,0.612339,68.395
9,0.488096,0.496064,77.130
10,0.473239,0.506384,76.296
11,0.455263,0.526491,74.722
12,0.437028,0.641668,68.302
13,0.405774,0.486307,77.377
14,0.393964,0.488190,77.222
15,0.378065,0.416606,81.914
16,0.364335,0.472520,79.321
17,0.358082,0.442634,80.000
18,0.343983,0.414688,81.420
19,0.336821,0.493734,79.259
20,0.328857,0.502895,77.623
21,0.316889,0.401986,82.809
22,0.301919,0.437153,81.605
23,0.296812,0.390895,83.364
24,0.288656,0.379419,84.444
25,0.281856,0.414835,81.605
